Symbol,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta,Market Cap (intraday) clean,Enterprise Value clean,language,region,quoteType,quoteSourceName,triggerable,Currency,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,sharesOutstanding,Book Value,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,marketCap,forwardPE,P/B,sourceInterval,exchangeDataDelayedBy,Analyst Rating,tradeable,marketState,postMarketPrice,postMarketChange,1 D Change $,1 D Change %,regularMarketTime,Price,High,regularMarketDayRange,Low,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,52wk Low,52wk High,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,Dividend,P/E,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,twoHundredDayAverageChangePercent,Company,exchange,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,displayName,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
A,45.29B,46.9B,49.92,32.38,3.33,7.79,9.42,8.06,30.3,1.01,45290000000.0,46900000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,942935000000.0,2,0.040194,1626209369,303443008.0,15.854,143.33676,5.933243,0.041393727,130.71185,18.558151,45294940160.0,32.37961,9.41529,15,0,1.9 - Buy,False,POST,149.33,0.0599976,-0.23999,-0.160518,1626206685,149.27,149.53,148.19 - 149.53,148.19,1244982,149.51,149.38,149.38,12,9,NYSE,USD,149.11,1649615,1845720,61.200005,0.6949018,88.07 - 151.0,-1.7299957,-0.011456925,88.07,151.0,1627430400.0,1621958700.0,1629144000.0,1629489600.0,0.748,49.923077,0.00500301,2.99,4.61,4.14,36.055557,0.14197756,"Agilent Technologies, Inc.",NYQ,"Agilent Technologies, Inc.",finmb_154924,America/New_York,EDT,-14400000,us_market,False,Agilent,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872,1999
AAL,12.84B,47.76B,,-286.0,0.05,1.0,,3.72,-4.44,1.85,12840000000.0,47760000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,1127830000000.0,2,1.8481464,1626216252,641382976.0,-12.387,22.715588,-2.6955872,-0.11866685,20.829779,-0.8097782,12840487936.0,-286.0,-1.6162106,15,0,3.4 - Hold,False,POST,20.39,0.36999893,-0.8199997,-3.9347396,1626206403,20.02,20.69,19.99 - 20.69,19.99,29157124,20.84,20.38,20.39,459,29,NasdaqGS,USD,20.69,31855731,25201540,9.39,0.88334906,10.63 - 26.09,-6.0699997,-0.23265618,10.63,26.09,1582070400.0,1626957000.0,1626957000.0,1626957000.0,0.0,,0.0,-14.725,-0.07,-8.54,-2.3442624,-0.038875986,"American Airlines Group, Inc.",NMS,American Airlines Group Inc.,finmb_168569,America/New_York,EDT,-14400000,us_market,False,American Airlines,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934
AAP,13.67B,16.37B,22.45,17.1,1.55,1.27,3.87,1.52,13.2,1.38,13670000000.0,16370000000.000002,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,1007040000000.0,2,-0.224913,1626215578,65438900.0,53.954,199.22353,9.746475,0.04892231,182.89519,26.074814,13674767360.0,17.100655,3.8731143,15,0,2.2 - Buy,False,POST,208.5,-0.470001,-2.95999,-1.39668,1626206401,208.97,212.13,208.82 - 212.13,208.82,688588,211.93,209.19,209.25,8,8,NYSE,USD,211.04,816974,584980,75.43001,0.56484956,133.54 - 213.94,-4.970001,-0.023230817,133.54,213.94,1625184000.0,1622615400.0,1629117000.0,1629462600.0,1.0,22.448168,0.004718539,9.309,12.22,10.94,19.101463,0.14256698,Advance Auto Parts Inc Advance ,NYQ,"Advance Auto Parts, Inc.",finmb_24333,America/New_York,EDT,-14400000,us_market,False,Advance Auto Parts,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449,1932
AAPL,2.43T,2.4T,32.74,27.27,1.53,7.47,35.13,7.38,24.05,1.21,2430000000000.0,2400000000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,345479000000.0,2,0.068666644,1626216209,16687599616.0,4.146,131.95589,13.684113,0.10370217,129.832,15.807999,2430380000000.0,27.273407,35.127834,15,0,2.0 - Buy,False,POST,145.74,0.1000061,1.1399994,0.7889269,1626206403,145.64,147.46,143.63 - 147.46,143.63,98214828,144.5,145.64,145.67,12,9,NasdaqGS,USD,144.03,82857860,98930800,56.495003,0.6337428,89.145 - 147.46,-1.8200073,-0.012342379,89.145,147.46,1620864000.0,1619627400.0,1627469940.0,1627905600.0,0.82,32.735447,0.00567474,4.449,5.34,5.18,28.115831,0.121757336,Apple Inc.,NMS,Apple Inc.,finmb_24937,America/New_York,EDT,-14400000,us_market,False,Apple,Apple,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
ABBV,208.26B,280.2B,40.48,8.44,2.04,4.15,15.18,5.58,11.42,0.8,208260000000.0,280200000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,1357140000000.0,2,-0.00848286,1626215433,1766220032.0,7.765,114.30059,3.6094131,0.031578254,110.02267,7.8873367,208255000000.0,8.440229,15.184804,15,0,2.0 - Buy,False,POST,117.9,-0.0100021,0.280006,0.23804,1626206671,117.91,118.09,116.69 - 118.09,116.69,6497893,117.63,117.8,118.09,11,9,NYSE,USD,117.59,6403625,6156720,38.800003,0.49045637,79.11 - 118.35,-0.4399948,-0.003717742,79.11,118.35,1629072000.0,1627648200.0,1627648200.0,1627648200.0,4.96,40.477173,0.042166114,2.913,13.97,12.6,9.357937,0.07168829,AbbVie Inc.,NYQ,AbbVie Inc.,finmb_141885706,America/New_York,EDT,-14400000,us_market,False,AbbVie,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ABC,23.69B,24.57B,,10.88,1.04,0.12,,0.12,8.92,0.54,23690000000.0,24570000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,797002000000.0,2,0.0,1626208885,207411008.0,-1.372,116.39235,-2.1823502,-0.018749945,112.88948,1.3205185,23688411136.0,10.877143,-83.24344,15,0,2.2 - Buy,False,POST,114.21,0.0,-1.34,-1.15967,1626206401,114.21,115.8,114.15 - 115.8,114.15,846696,115.55,114.37,116.73,10,9,NYSE,USD,115.29,1042463,726240,22.21,0.24141303,92.0 - 125.86,-11.650002,-0.092563175,92.0,125.86,1622505600.0,1628080200.0,1628080200.0,1628080200.0,1.72,,0.014885331,-18.344,10.5,9.03,12.6478405,0.011697445,AmerisourceBergen Corporation,NYQ,AmerisourceBergen Corporation,finmb_24809,America/New_York,EDT,-14400000,us_market,False,AmerisourceBergen,AmerisourceBergen,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1140859,1985
ABMD,14.47B,13.78B,64.6,61.02,7.16,17.07,10.87,16.26,53.79,1.29,14470000000.0,13780000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,554564000000.0,2,0.0,1626208905,45345000.0,29.371,304.65588,14.474121,0.047509737,314.02386,5.10614,14470949888.0,61.01912,10.865479,15,0,2.3 - Buy,False,POST,319.13,0.0,-3.0100098,-0.93437934,1626206402,319.13,322.61,317.37 - 322.61,317.37,126444,322.14,290.0,321.9,14,13,NasdaqGS,USD,320.69,272723,232880,76.40001,0.31475306,242.73 - 387.4,-68.26999,-0.1762261,242.73,387.4,,1619679600.0,1628080200.0,1628512200.0,,64.60121,,4.94,5.23,4.36,73.194954,0.016260358,"ABIOMED, Inc.",NMS,"Abiomed, Inc.",finmb_247589,America/New_York,EDT,-14400000,us_market,False,Abiomed,Abiomed,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,815094,1981
ABT,210.82B,222.2B,37.18,25.57,2.12,5.65,6.28,5.95,21.45,0.68,210820000000.0,222200000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,322151000000.0,2,-0.042143323,1626214323,1776819968.0,18.889,113.35529,5.2947083,0.046708964,117.313705,1.3362961,210820000000.0,25.571121,6.2814336,15,0,1.8 - Buy,False,POST,118.6,-0.05000305,-0.159996,-0.134665,1626206553,118.65,119.255,118.11 - 119.255,118.11,2835692,118.81,118.41,118.6,8,18,NYSE,USD,118.57,6397507,4255360,26.940002,0.29375207,91.71 - 128.54,-9.889992,-0.07694097,91.71,128.54,1629072000.0,1626957000.0,1626957000.0,1626957000.0,1.62,37.1827,0.013635216,3.191,4.64,4.36,27.213303,0.011390792,Abbott Laboratories,NYQ,Abbott Laboratories,finmb_247483,America/New_York,EDT,-14400000,us_market,False,,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888
ACN,198.25B,187.3B,34.93,31.74,2.94,4.13,10.25,3.91,23.32,1.1,198250000000.0,187300000000.0,en-US,US,EQUITY,Delayed Quote,True,USD,995549000000.0,2,0.0,1626212467,634137024.0,30.488,290.03058,22.599426,0.07792084,274.04172,38.588287,198250000000.0,31.739086,10.254198,15,0,2.1 - Buy,False,POST,312.63,0.0,1.06,0.340212,1626206402,312.63,313.87,310.05 - 313.87,310.05,1424785,311.57,313.06,313.19,13,8,NYSE,USD,311.21,1909604,1824940,102.21001,0.48574284,210.42 - 316.22,-3.5899963,-0.011352844,210.42,316.22,1628812800.0,1632400200.0,1632400200.0,1632400200.0,3.52,34.934628,0.011297622,8.949,9.85,8.81,35.48581,0.14081173,Accenture plc,NYQ,Accenture plc,finmb_972190,America/New_York,EDT,-14400000,us_market,False,Accenture,Accenture,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
ADBE,288.23B,281.46B,52.43,43.12,2.62,20.03,20.83,19.56,49.13,0.95,288230000000.0,281460000000.0,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,524324000000.0,2,-0.00165448,1626215959,476400000.0,29.04,550.27765,54.73236,0.09946317,497.61038,107.39963,288227000000.0,43.122597,20.833677,15,0,1.7 - Buy,False,POST,605.0,-0.0100098,4.8099976,0.80139905,1626206402,605.01,609.33,598.42 - 609.33,598.42,1398848,600.2,600.06,608.0,8,8,NasdaqGS,USD,600.56,2088944,1873440,188.72,0.45333782,416.29 - 609.33,-4.3200073,-0.007089766,416.29,609.33,,1632221940.0,1632221940.0,1632221940.0,,52.431755,,11.539,14.03,12.26,49.348286,0.21583076,Adobe Inc.,NMS,Adobe Inc.,finmb_24321,America/New_York,EDT,-14400000,us_market,False,Adobe,Adobe,reports,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
